-1.5,-1,4
-1.5,-0.9,4
-1.5,-0.8,4
-1.5,-0.7,4
-1.5,-0.6,4
-1.5,-0.5,4
-1.5,-0.4,4
-1.5,-0.3,4
-1.5,-0.2,4
-1.5,-0.1,4
-1.5,0,4
-1.5,0.1,4
-1.5,0.2,4
-1.5,0.3,4
-1.5,0.4,4
-1.5,0.5,4
-1.5,0.6,4
-1.5,0.7,4
-1.5,0.8,4
-1.5,0.9,4
-1.5,1,4
-1.4,-1,4
-1.4,-0.9,4
-1.4,-0.8,4
-1.4,-0.7,4
-1.4,-0.6,4
-1.4,-0.5,4
-1.4,-0.4,4
-1.4,-0.3,4
-1.4,-0.2,4
-1.4,-0.1,4
-1.4,0,4
-1.4,0.1,4
-1.4,0.2,4
-1.4,0.3,4
-1.4,0.4,4
-1.4,0.5,4
-1.4,0.6,4
-1.4,0.7,4
-1.4,0.8,4
-1.4,0.9,4
-1.4,1,4
-1.3,-1,4
-1.3,-0.9,4
-1.3,-0.8,4
-1.3,-0.7,4
-1.3,-0.6,4
-1.3,-0.5,4
-1.3,-0.4,4
-1.3,-0.3,4
-1.3,-0.2,4
-1.3,-0.1,4
-1.3,0,4
-1.3,0.1,4
-1.3,0.2,4
-1.3,0.3,4
-1.3,0.4,4
-1.3,0.5,4
-1.3,0.6,4
-1.3,0.7,4
-1.3,0.8,4
-1.3,0.9,4
-1.3,1,4
-1.2,-1,4
-1.2,-0.9,4
-1.2,-0.8,4
-1.2,-0.7,4
-1.2,-0.6,4
-1.2,-0.5,4
-1.2,-0.4,4
-1.2,-0.3,4
-1.2,-0.2,4
-1.2,-0.1,4
-1.2,0,4
-1.2,0.1,4
-1.2,0.2,4
-1.2,0.3,4
-1.2,0.4,4
-1.2,0.5,4
-1.2,0.6,4
-1.2,0.7,4
-1.2,0.8,4
-1.2,0.9,4
-1.2,1,4
-1.1,-1,4
-1.1,-0.9,4
-1.1,-0.8,4
-1.1,-0.7,4
-1.1,-0.6,4
-1.1,-0.5,4
-1.1,-0.4,3.74439224002947
-1.1,-0.3,3.51312946776101
-1.1,-0.2,3.42444484165335
-1.1,-0.1,3.4783383617065
-1.1,0,3.67481002792047
-1.1,0.1,4
-1.1,0.2,4
-1.1,0.3,4
-1.1,0.4,4
-1.1,0.5,4
-1.1,0.6,4
-1.1,0.7,4
-1.1,0.8,4
-1.1,0.9,4
-1.1,1,4
-1,-1,4
-1,-0.9,4
-1,-0.8,4
-1,-0.7,3.92288866752586
-1,-0.6,3.23954957138457
-1,-0.5,2.69878862140409
-1,-0.4,2.30060581758442
-1,-0.3,2.04500115992556
-1,-0.2,1.9319746484275
-1,-0.1,1.96152628309026
-1,0,2.13365606391383
-1,0.1,2.4483639908982
-1,0.2,2.90565006404338
